mood,guide
happy,Higher-valence medium-to-high energy territory. Good for starts of things — mornings first walks social arrivals.
chill,Low-to-medium energy with a settled valence. Aim is to lower stimulation not to entertain.
intense,High-energy music with emotional weight behind it. Matches or fuels an already-elevated state rather than creating one from zero.
focused,Low-distraction music with steady rhythm and minimal vocal draw. Goal is to disappear into the background while keeping the listener alert.
energetic,High-arousal territory meant to push effort output. Less emotional than intense more task-oriented.
moody,Medium-energy with a tilted unresolved quality. Suits long drives transitional hours or mildly introspective moments.
relaxed,A gentle floor for waking resting or recovering. Slower tempos warmer timbres rarely surprising.
romantic,Music that slows the pulse and softens the room. Leans on intimacy more than drama.
melancholic,Quiet sadness without catharsis. Usually solo instruments lots of space restrained dynamics.
angry,Music that externalizes frustration rather than soothing it. Heavy fast confrontational — not for everyone in every moment.
nostalgic,Warm familiar-sounding music that gestures at remembered time. Folk textures analog tape hiss acoustic instruments.
euphoric,Peak-state music engineered for collective release — festivals dance floors big moments. Valence is extremely high by design.
sad,Emotionally direct sadness. Slower tempos lower valence vocals that sound close to crying.
uplifting,Music that actively tries to improve mood rather than reflect current mood. Often syncopated major-key community-feeling.
