id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,song_notes
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,"Bright synth stabs and a chorus built for convertibles. Designed for the first ten minutes of a road trip, when optimism still outruns the gas gauge."
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,Filtered rainfall over a muted kick drum. Makes 2am feel like a warm library instead of an empty apartment.
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,Driving guitars with no quiet moments. A straight shot of adrenaline for workouts where you'd rather not think.
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,Jazz piano samples under a fireplace crackle. Asks for attention but never demands it.
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,Peak-hour treadmill fuel. Sidechain compression so heavy you can feel it in your molars.
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,Slow drifting pads with no percussion. For long-form focus or when anxiety is asking you to lie flat on the floor.
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,Upright bass and brushed drums. Makes a rainy Sunday feel chosen instead of endured.
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,Analog synths and tail-light reds. Built for 11pm freeway stretches where your thoughts get a little too loud.
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,Metronomic low-valence lofi with no vocal samples. Disappears into the background and lets deep work happen.
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,Jangly guitars and festival chants. The feeling of arriving somewhere you've been looking forward to.
11,Golden Hour Hustle,Crown Freq,hip-hop,energetic,0.85,95,0.72,0.91,0.08,Trap hi-hats and brass stabs. Designed for the walk to the pitch meeting not the meeting itself.
12,Moonlit Sonata,Aurelius,classical,melancholic,0.22,58,0.35,0.28,0.97,Solo piano in a minor key. Restraint rather than sadness — every note could have been louder but wasn't.
13,Velvet Sunrise,Sable June,r&b,romantic,0.55,88,0.74,0.69,0.42,Rhodes piano and slow-burn vocals. More late-night tenderness than Saturday-night seduction.
14,Iron Collapse,Gravefield,metal,angry,0.97,168,0.22,0.54,0.04,Double-kick drums and detuned guitars. Genuinely aggressive — skip if you're already upset.
15,Porch Light Song,The Hollows,folk,nostalgic,0.30,76,0.58,0.40,0.94,Acoustic guitar and a voice that sounds like it's been smoking since college. For flipping through old photos.
16,Drop Zone,Ultrawave,edm,euphoric,0.96,140,0.82,0.95,0.03,Festival-main-stage drops designed for collective catharsis. Euphoria engineered not accidental.
17,Empty Chairs,Mara Soul,soul,sad,0.33,68,0.28,0.38,0.81,Spare arrangement with a vocal that cracks at exactly the right word. Sadness that feels earned rather than performed.
18,Island Drift,Coral Tide,reggae,uplifting,0.58,86,0.88,0.77,0.55,Offbeat guitar skanks and steel drums. The musical equivalent of someone handing you a cold drink.
